ARTIST,ALBUM,SONG_NAME,DATE,TIME_gmt,TIME_ist
ODESZA,Loyal,Loyal,16-11-2019,0:34:00,06:04:00
SWØRN,Escapade,Far Away,16-11-2019,0:39:00,06:09:00
Parimal Shais,Kumari Kandam Traps Vol. I,Pharmaceutical,16-11-2019,0:39:00,06:09:00
The Weeknd,After Hours,Blinding Lights,06-11-2021,0:41:00,06:11:00
Temples,Paraphernalia,Paraphernalia,06-11-2021,0:45:00,06:15:00
The Weeknd,After Hours,Blinding Lights,06-11-2021,0:45:00,06:15:00
Poets of the Fall,Carnival of Rust,Carnival of Rust,28-12-2019,0:46:00,06:16:00
SWØRN,Escapade,Far Away,16-11-2019,0:47:00,06:17:00
Siames,Home,Summer Nights,06-11-2021,0:50:00,06:20:00
Poets of the Fall,Carnival of Rust,Carnival of Rust,28-12-2019,0:50:00,06:20:00
Logic,Bobby Tarantino II,Everyday,16-11-2019,0:50:00,06:20:00
Fall Out Boy,American Beauty/American Psycho,Centuries,28-12-2019,0:51:00,06:21:00
Keiichi Okabe,NieR:Automata Original Soundtrack,Song of the Ancients (Atonement),06-11-2021,0:53:00,06:23:00
Logic,Confessions of a Dangerous Mind,Keanu Reeves,16-11-2019,0:54:00,06:24:00
The Game,El Chapo - Single,The Game & Skrillex: El Chapo,16-11-2019,0:57:00,06:27:00
Nujabes,Metaphorical Music,Letter From Yokosuka,06-11-2021,0:58:00,06:28:00
Keiichi Okabe,NieR:Automata Original Soundtrack,Song of the Ancients (Atonement),06-11-2021,0:58:00,06:28:00
Eagles,Hell Freezes Over,Hotel California - Live On MTV 1994,28-12-2019,0:59:00,06:29:00
Taylor Davis,Gaming Fantasy,Sadness and Sorrow (Naruto),16-11-2019,1:00:00,06:30:00
Daft Punk,Random Access Memories,Beyond,06-11-2021,1:02:00,06:32:00
Kozo Murashita,??????????????? ???,??,06-11-2021,1:07:00,06:37:00
Lorde,Pure Heroine,Royals,28-12-2019,1:07:00,06:37:00
?????,WHITE ALBUM2 Original Soundtrack ~kazusa~,?????,06-11-2021,1:10:00,06:40:00
ASIAN KUNG-FU GENERATION,Sol-fa,Rewrite,28-12-2019,1:10:00,06:40:00
Eminem,Relapse: Refill,Beautiful,16-11-2019,1:10:00,06:40:00
Bruce Faulconer,The Best of DragonBall Z - Volume I,The Dragon Theme,28-12-2019,1:14:00,06:44:00
The Chain Gang of 1974,Daydream Forever,Sleepwalking,06-11-2021,1:15:00,06:45:00
Teminite,Unstoppable EP,Unstoppable,16-11-2019,1:15:00,06:45:00
Nivro,Hatred,Hatred,16-11-2019,1:18:00,06:48:00
The Chain Gang of 1974,Daydream Forever,Sleepwalking,06-11-2021,1:19:00,06:49:00
Mabanua,MEGALOBOX2ORIGINAL SOUNDTRACK,El canto del Colibrí,06-11-2021,1:19:00,06:49:00
Santana,Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem],Dar um Jeito (We Will Find a Way) [The Official 2014 FIFA World Cup Anthem],28-12-2019,1:19:00,06:49:00
Peach Pit,Being so Normal,Alrighty Aphrodite,06-11-2021,1:21:00,06:51:00
